UF,REGIAO,Município,Total Leitos,População,Razão Leitos/Mil,Leitos Ideais,Déficit Leitos,Percentual Cobertura,Nível Alerta,Cor Alerta
SP,ARARAQUARA,Santa Cruz das Palmeiras,354,29489,83.30225988700565,29.489,-324.511,4.24958459086439,VERDE (NORMAL),VERDE
SP,CAMPINAS,Piracaia,348,26795,76.99712643678161,26.795,-321.205,4.519649188281395,VERDE (NORMAL),VERDE
SP,SOROCABA,Taguaí,330,13068,39.6,13.068,-316.932,8.333333333333332,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Ibaté,348,33160,95.28735632183908,33.16,-314.84000000000003,3.65211097708082,VERDE (NORMAL),VERDE
SP,BAURU,Bernardino de Campos,324,11881,36.66975308641975,11.881,-312.119,8.835619897315041,VERDE (NORMAL),VERDE
SP,BAURU,Cândido Mota,330,30157,91.38484848484849,30.157,-299.843,3.6111019000563713,VERDE (NORMAL),VERDE
SP,ARACATUBA,Potirendaba,318,19097,60.05345911949686,19.097,-298.903,5.295281981463057,VERDE (NORMAL),VERDE
SP,CAMPINAS,Monte Mor,366,67832,185.33333333333334,67.832,-298.168,1.974820143884892,VERDE (NORMAL),VERDE
SP,ARACATUBA,Urânia,300,8973,29.91,8.973,-291.027,10.030090270812437,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Santa Rosa de Viterbo,306,23710,77.48366013071896,23.71,-282.29,3.949219738506959,VERDE (NORMAL),VERDE
SP,SOROCABA,Cesário Lange,300,19707,65.69,19.707,-280.293,4.566905160602832,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Tapiratiba,292,11903,40.763698630136986,11.903,-280.097,7.163236158951525,VERDE (NORMAL),VERDE
SP,BAURU,Macatuba,294,17140,58.29931972789116,17.14,-276.86,5.04294049008168,VERDE (NORMAL),VERDE
SP,CAMPINAS,Cabreúva,324,48654,150.16666666666666,48.654,-275.346,2.1576026637069923,VERDE (NORMAL),VERDE
SP,BAURU,Maracaí,288,12804,44.458333333333336,12.804,-275.196,6.4779756326148075,VERDE (NORMAL),VERDE
SP,BAURU,Rinópolis,282,9334,33.09929078014184,9.334,-272.666,8.519820012856226,VERDE (NORMAL),VERDE
SP,ARACATUBA,General Salgado,282,10437,37.01063829787234,10.437,-271.563,7.619430870939925,VERDE (NORMAL),VERDE
SP,BAURU,Bastos,288,21936,76.16666666666667,21.936,-266.064,3.7811816192560173,VERDE (NORMAL),VERDE
SP,ARACATUBA,Clementina,270,7084,26.237037037037037,7.084,-262.916,10.290796160361378,VERDE (NORMAL),VERDE
SP,BAURU,Piratininga,276,15657,56.72826086956522,15.657,-260.343,4.865299865874689,VERDE (NORMAL),VERDE
SP,BAURU,Mirante do Paranapanema,276,16031,58.083333333333336,16.031,-259.969,4.751793400286944,VERDE (NORMAL),VERDE
SP,Litoral,Peruíbe,330,70629,214.02727272727273,70.629,-259.371,1.5418595760948053,VERDE (NORMAL),VERDE
SP,CAMPINAS,Aguaí,288,32886,114.1875,32.886,-255.114,2.522167487684729,VERDE (NORMAL),VERDE
SP,CAMPINAS,Jarinu,288,40007,138.91319444444446,40.007,-247.993,2.0732371834928887,VERDE (NORMAL),VERDE
SP,ARACATUBA,Paulo de Faria,252,7390,29.325396825396826,7.39,-244.61,8.593234100135318,VERDE (NORMAL),VERDE
SP,ARACATUBA,Sud Mennucci,252,7464,29.61904761904762,7.464,-244.536,8.508038585209002,VERDE (NORMAL),VERDE
SP,SOROCABA,Paranapanema,264,19853,75.20075757575758,19.853,-244.147,3.5106029315468694,VERDE (NORMAL),VERDE
SP,ARACATUBA,Urupês,258,14073,54.54651162790697,14.073,-243.927,4.729908335109785,VERDE (NORMAL),VERDE
SP,CAMPINAS,Nazaré Paulista,258,18675,72.38372093023256,18.675,-239.325,3.5643373493975905,VERDE (NORMAL),VERDE
SP,ARACATUBA,Santa Adélia,252,14193,56.32142857142857,14.193,-237.807,4.474318325935321,VERDE (NORMAL),VERDE
SP,BAURU,Arealva,246,8290,33.699186991869915,8.29,-237.71,7.299879372738239,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Borborema,252,14405,57.16269841269841,14.405,-237.595,4.408469281499479,VERDE (NORMAL),VERDE
SP,ARACATUBA,Indiaporã,240,4113,17.1375,4.113,-235.887,14.00437636761488,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,SAO LUIS DO PARAITINGA,246,10487,42.63008130081301,10.487,-235.513,5.770573090492991,VERMELHO (CAOS),VERMELHO
SP,ARACATUBA,Cardoso,246,11476,46.65040650406504,11.476,-234.524,5.273265946322761,VERDE (NORMAL),VERDE
SP,ARACATUBA,Tabapuã,246,11498,46.739837398373986,11.498,-234.502,5.263176204557314,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Colômbia,240,6802,28.341666666666665,6.802,-233.198,8.468097618347546,VERDE (NORMAL),VERDE
SP,BAURU,Pompéia,246,20520,83.41463414634147,20.52,-225.48,2.9491228070175435,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Altinópolis,240,17197,71.65416666666667,17.197,-222.803,3.3494214107111704,VERDE (NORMAL),VERDE
SP,ARACATUBA,Guaraçaí,228,7453,32.68859649122807,7.453,-220.547,6.974909432443312,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Queluz,228,9074,39.79824561403509,9.074,-218.926,5.728895746087723,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Ribeirão Bonito,228,11040,48.421052631578945,11.04,-216.96,4.708695652173914,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Sales Oliveira,228,11683,51.24122807017544,11.683,-216.317,4.449542069673885,VERDE (NORMAL),VERDE
SP,BAURU,Iepê,224,7739,34.549107142857146,7.739,-216.261,6.483525003230391,VERDE (NORMAL),VERDE
SP,SOROCABA,Itaberá,228,18263,80.10087719298245,18.263,-209.737,2.8464107758856705,VERDE (NORMAL),VERDE
SP,BAURU,Bocaina,216,11480,53.148148148148145,11.48,-204.52,4.06411149825784,VERDE (NORMAL),VERDE
SP,ARACATUBA,Ibirá,216,11952,55.333333333333336,11.952,-204.048,3.903614457831325,VERDE (NORMAL),VERDE
SP,SOROCABA,Ribeirão Branco,220,18942,86.1,18.942,-201.058,2.5551684088269457,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Jaborandi,204,6280,30.784313725490197,6.28,-197.72,6.626751592356688,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Torrinha,198,9484,47.898989898989896,9.484,-188.516,4.133698861239983,VERDE (NORMAL),VERDE
SP,BAURU,Alto Alegre,192,3874,20.177083333333332,3.874,-188.126,9.515745998967477,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Vargem Grande Paulista,240,52352,218.13333333333333,52.352,-187.648,1.1002444987775062,VERDE (NORMAL),VERDE
